"AverageShortestPathLength","Betweenness","Closeness","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Eigenvector","Interactor Type","IsSingleNode","name","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Short Label","Species (NCBI TAX ID)","Species Full Name","Species Short Label","Stress","Subgragh","synonym","systematic name"
,,,,,,,,"ribonucleic acid",,"IPO7",,"false",,"IPO7","IPO7","9606","Homo sapiens","Human",,,"RANBP7",""
,"0.0625","0.3689776733254994",,,"2.0",,"0.003867235966026783","ribonucleic acid",,"DDB1",,"false",,"DDB1","DDB1","9606","Homo sapiens","Human",,,"XPE-BF",""
,,,,,,,,"ribonucleic acid",,"EFTUD2",,"false",,"EFTUD2","EFTUD2","9606","Homo sapiens","Human",,,"U5-116KD",""
,,,,,,,,"ribonucleic acid",,"USO1",,"false",,"USO1","USO1","9606","Homo sapiens","Human",,,"VDP",""
,,,,,,,,"ribonucleic acid",,"DCAF8",,"false",,"DCAF8","DCAF8","9606","Homo sapiens","Human",,,"WDR42A","RP11-574F21.1"
,,,,,,,,"ribonucleic acid",,"SND1",,"false",,"SND1","SND1","9606","Homo sapiens","Human",,,"p100",""
,,,,,,,,"ribonucleic acid",,"EIF3B",,"false",,"EIF3B","EIF3B","9606","Homo sapiens","Human",,,"PRT1",""
,,,,,,,,"ribonucleic acid",,"HNRNPU",,"false",,"HNRNPU","HNRNPU","9606","Homo sapiens","Human",,,"hnRNP U","RP11-11N7.3"
,,,,,,,,"ribonucleic acid",,"TFRC",,"false",,"TFRC","TFRC","9606","Homo sapiens","Human",,,"p90",""
,,,,,,,,"ribonucleic acid",,"U2AF2",,"false",,"U2AF2","U2AF2","9606","Homo sapiens","Human",,,"U2AF65",""
,,,,,,,,"ribonucleic acid",,"IYD",,"false",,"IYD","IYD","9606","Homo sapiens","Human",,,"dJ422F24.1",""
,,,,,,,,"protein",,"DNAI2",,"false",,"DNAI2","DNAI2","9606","Homo sapiens","Human",,,"DIC2",""
,,,,,,,,"protein",,"RHOF",,"false",,"RHOF","RHOF","9606","Homo sapiens","Human",,,"RIF",""
,,,,,,,,"protein",,"CCDC27",,"false",,"CCDC27","CCDC27","9606","Homo sapiens","Human",,,"","RP1-286D6.1"
,,,,,,,,"gene",,"CENPJ",,"false",,"CENPJ","CENPJ","9606","Homo sapiens","Human",,,"Sas-4","RP11-756A22.2"
,,,,,,,,"protein",,"HORMAD1",,"false",,"HORMAD1","HORMAD1","9606","Homo sapiens","Human",,,"NOHMA",""
,,,,,,,,"protein",,"MAP10",,"false",,"MAP10","MAP10","9606","Homo sapiens","Human",,,"MTR120",""
,,,,,,,,"protein",,"C1QL1",,"false",,"C1QL1","C1QL1","9606","Homo sapiens","Human",,,"CRF",""
,,,,,,,,"protein",,"C8orf76",,"false",,"C8orf76","C8orf76","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"CNTD1",,"false",,"CNTD1","CNTD1","9606","Homo sapiens","Human",,,"CNTD",""
,,,,,,,,"protein",,"SNX19",,"false",,"SNX19","SNX19","9606","Homo sapiens","Human",,,"CHET8",""
,,,,,,,,"protein",,"XKR8",,"false",,"XKR8","XKR8","9606","Homo sapiens","Human",,,"hXkr8","RP11-460I13.3"
,,,,,,,,"protein",,"GGT6",,"false",,"GGT6","GGT6","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"protein",,"PTF1A",,"false",,"PTF1A","PTF1A","9606","Homo sapiens","Human",,,"bHLHa29",""
,,,,,,,,"protein",,"SNORD3A",,"false",,"SNORD3A","SNORD3A","9606","Homo sapiens","Human",,,"U3",""
,,,,,,,,"protein",,"TSPAN10",,"false",,"TSPAN10","TSPAN10","9606","Homo sapiens","Human",,,"OCSP",""
,,,,,,,,"protein",,"TSPAN33",,"false",,"TSPAN33","TSPAN33","9606","Homo sapiens","Human",,,"TSPAN-33",""
,,,,,,,,"gene",,"CYLD",,"false",,"CYLD","CYLD","9606","Homo sapiens","Human",,,"USPL2","HSPC057"
,,,,,,,,"gene",,"E4F1",,"false",,"E4F1","E4F1","9606","Homo sapiens","Human",,,"E4F",""
,,,,,,,,"gene",,"RASSF1",,"false",,"RASSF1","RASSF1","9606","Homo sapiens","Human",,,"REH3P21",""
,,,,,,,,"ribonucleic acid",,"IRAK1",,"false",,"IRAK1","IRAK1","9606","Homo sapiens","Human",,,"pelle",""
,,,,,,,,"ribonucleic acid",,"AIFM1",,"false",,"AIFM1","AIFM1","9606","Homo sapiens","Human",,,"PDCD8","RP3-438D16.2"
,,,,,,,,"ribonucleic acid",,"OGT",,"false",,"OGT","OGT","9606","Homo sapiens","Human",,,"O-GLCNAC",""
,,,,,,,,"ribonucleic acid",,"OPHN1",,"false",,"OPHN1","OPHN1","9606","Homo sapiens","Human",,,"OPN1","RP6-201G10.1"
,,,,,,,,"ribonucleic acid",,"KDM5C",,"false",,"KDM5C","KDM5C","9606","Homo sapiens","Human",,,"XE169","RP11-258C19.2"
,,,,,,,,"ribonucleic acid",,"ATP6AP2",,"false",,"ATP6AP2","ATP6AP2","9606","Homo sapiens","Human",,,"XPDS","HT028"
,,,,,,,,"ribonucleic acid",,"PIR",,"false",,"PIR","PIR","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"TUBGCP6",,"false",,"TUBGCP6","TUBGCP6","9606","Homo sapiens","Human",,,"MCPHCR","RP3-402G11.6"
,,,,,,,,"ribonucleic acid",,"LDOC1L",,"false",,"LDOC1L","LDOC1L","9606","Homo sapiens","Human",,,"dJ1033E15.2",""
,,,,,,,,"ribonucleic acid",,"MKL1",,"false",,"MKL1","MKL1","9606","Homo sapiens","Human",,,"MRTF-A","RP5-1042K10.11-009"
,,,,,,,,"ribonucleic acid",,"SGSM3",,"false",,"SGSM3","SGSM3","9606","Homo sapiens","Human",,,"rabGAPLP","RP5-1042K10.9"
,,,,,,,,"ribonucleic acid",,"ADSL",,"false",,"ADSL","ADSL","9606","Homo sapiens","Human",,,"ASL","RP5-1042K10.8"
,,,,,,,,"ribonucleic acid",,"TNRC6B",,"false",,"TNRC6B","TNRC6B","9606","Homo sapiens","Human",,,"","RP5-1042K10.7"
,,,,,,,,"ribonucleic acid",,"APOL6",,"false",,"APOL6","APOL6","9606","Homo sapiens","Human",,,"APOLVI","UNQ3095/PRO21341"
,,,,,,,,"ribonucleic acid",,"DIP2A",,"false",,"DIP2A","DIP2A","9606","Homo sapiens","Human",,,"DIP2",""
,,,,,,,,"ribonucleic acid",,"CBR1",,"false",,"CBR1","CBR1","9606","Homo sapiens","Human",,,"hCBR1",""
,,,,,,,,"ribonucleic acid",,"SETD4",,"false",,"SETD4","SETD4","9606","Homo sapiens","Human",,,"C21orf27",""
,,,,,,,,"ribonucleic acid",,"DONSON",,"false",,"DONSON","DONSON","9606","Homo sapiens","Human",,,"C21orf60",""
,,,,,,,,"ribonucleic acid",,"URB1",,"false",,"URB1","URB1","9606","Homo sapiens","Human",,,"NPA1",""
,,,,,,,,"ribonucleic acid",,"PLCG1",,"false",,"PLCG1","PLCG1","9606","Homo sapiens","Human",,,"PLCgamma1","RP3-511B24.2"
,,,,,,,,"ribonucleic acid",,"C20orf24",,"false",,"C20orf24","C20orf24","9606","Homo sapiens","Human",,,"RIP5","PNAS-11"
,,,,,,,,"ribonucleic acid",,"TGIF2-C20orf24",,"false",,"TGIF2-C20orf24","TGIF2-C20orf24","9606","Homo sapiens","Human",,,"",""
,,,,,,,,"ribonucleic acid",,"RBM39",,"false",,"RBM39","RBM39","9606","Homo sapiens","Human",,,"RNPC2","RP11-353C18.2"
,,,,,,,,"ribonucleic acid",,"ESF1",,"false",,"ESF1","ESF1","9606","Homo sapiens","Human",,,"bA526K24.1","HDCMC28P"
,,,,,,,,"ribonucleic acid",,"C20orf194",,"false",,"C20orf194","C20orf194","9606","Homo sapiens","Human",,,"","hCG_39261"
,,,,,,,,"ribonucleic acid",,"ZNF324",,"false",,"ZNF324","ZNF324","9606","Homo sapiens","Human",,,"ZNF324A",""
,,,,,,,,"ribonucleic acid",,"ZNF761",,"false",,"ZNF761","ZNF761","9606","Homo sapiens","Human",,,"ZNF468",""
,,,,,,,,"ribonucleic acid",,"PIH1D1",,"false",,"PIH1D1","PIH1D1","9606","Homo sapiens","Human",,,"NOP17",""
,,,,,,,,"ribonucleic acid",,"RUVBL2",,"false",,"RUVBL2","RUVBL2","9606","Homo sapiens","Human",,,"TIP49B","CGI-46"
,,,,,,,,"ribonucleic acid",,"OPA3",,"false",,"OPA3","OPA3","9606","Homo sapiens","Human",,,"MGA3",""
,,,,,,,,"ribonucleic acid",,"MEGF8",,"false",,"MEGF8","MEGF8","9606","Homo sapiens","Human",,,"SBP1",""
,,,,,,,,"ribonucleic acid",,"ZNF383",,"false",,"ZNF383","ZNF383","9606","Homo sapiens","Human",,,"","HSD17"
,,,,,,,,"ribonucleic acid",,"TNFRSF11A",,"false",,"TNFRSF11A","TNFRSF11A","9606","Homo sapiens","Human",,,"TRANCER",""
,,,,,,,,"ribonucleic acid",,"ROCK1",,"false",,"ROCK1","ROCK1","9606","Homo sapiens","Human",,,"ROCK-I",""
,,,,,,,,"ribonucleic acid",,"USP14",,"false",,"USP14","USP14","9606","Homo sapiens","Human",,,"TGT",""
,,,,,,,,"ribonucleic acid",,"UBE2O",,"false",,"UBE2O","UBE2O","9606","Homo sapiens","Human",,,"E2-230K",""
